,모집직종,직무내용,경력조건,학력,전공,자격면허,우대조건
109,전산자료 입력원 및 사무 보조원,"당소는 쾌적한 환경의 근무 환경을 제공하고 있습니다. 함께 성장해나가실 신입 직원분을 구인중에 있으니 많은 지원 부탁드립니다. 감사합니다. 해당업무는 2인이 진행하며 주5일 근무합니다. 다만, 평일 5일이 아닌 두분 협의하에 매일 같이 업무가 돌아가야 합니다. ex A조 -> 화~ 토 근무 (월, 일 휴무) B 조-> 일~목 근무 (금, 토 휴무) 업무는 명절등 모든날을 포함해서 업무가 진행되어야 하며 주말, 명절, 공휴일 근무는 오전 근무만 합니다. 특정 프로그램에서 데이터를 다운받아 내부관리하는 엑셀에 데이터를 기입하고 관리하는 작업입니다. 엑셀을 이용하며 위 작업한 데이터를 위하고 라는 내부관리 프로그램에 입력도 해야합니다. 추가로 세금계산서 발급 등의 업무도 있습니다.",관계없음,학력무관,-,-,-
110,생산·품질 사무원 및 관리원(그 외 분야),"품질 검사원 (팀원) 모집 품질 관리, 순회검사, 초.중.종물 검사, 3차원 측정기, 비전 측정기 데이터 측정,  성적서 관리, 샘플 데이터 측정 등",경력 (최소 1년 이상) 우대,대졸(2~3년) ~ 박사,-,우대 : 자동차운전면허1종대형,"운전면허증, 차량소지자"
111,-,"[주요 업무 - 오시면 이런 업무를 하게 되실거에요! ] - 기존 API 서비스 유지관리 및 신규 API 서비스 개발 - 세일즈 데이터 분석 플랫폼 서비스 개발(데이터엔지니어 팀과 협업개발) - 세일즈 데이터 기반 신규 프로젝트의 아키텍처 설계 및 개발 - 대용량 데이터 처리 인프라 구축 및 유지관리 [자격 요건 - 이런 분을 찾고 있어요!] - RDBMS 환경에서 DB 스키마를 설계하실 수 있는 분 - 검색 서비스 개발, 최적화를 하실 수 있는 분 - Node.js Backend 개발 및 운용, 유지관리를 하실 수 있는분 - AWS 기반의 MSA구조 Node.js 개발 및 서비스간의 node 모니터링 및 트랜잭션 유지관리를 하실 수 있는 분 - AWS, GCP 클라우드 환경 운영경험 3년 이상이거나 그에 준하는 실력을 보유하신 분 - Hadoop과 Spark 경험이 있으신 분 - 다양한 기술 스택에 대한 이해를 바탕으로 아키텍쳐를 설계 경험이 있으신 분 [우대 사항 - 이런분이면 더 좋아요!] - Spring(Java) 기반 프레임워크를 활용하여 인증/보안, 검색, REST API 설계 및 개발 경험이 있으신 분 - Python과 Django 프레임워크나 flask 프레임워크를 사용하여서 backend 개발 경험이 있으신 분 - 클린 아키텍처, DDD 등 프로젝트 구조와 설계에 관심이 있으신 분 - Kubernetes, Docker 등 컨테이너 환경의 배포 경험이 있으신 분 - 데이터 비즈니스에 대한 이해가 있는 분 [복지 및 혜택] 딥세일즈는 팀원들의 편의를 위해 여러 복지를 갖추고 있어요. 회사 성장에 맞게 복지와 혜택도 빠르게 업그레이드 되고 있어요~! 현재 저희는 업무에만 최대한 집중할 수 있도록!! - 복장은 자유롭게! (비오는 날 반바지, 크록스 OK) - 팀원들의 점심은 든든하게 점심 식대 17,000원 제공!!! 팀원이 개별적으로 성장할 수 있도록 쓸모없는 시간은 줄이고, 필요한 교육을 들을 수 있도록!! - 삼성역에서 사무실 Door to Door 10분 ( 우리의 시간은 소중하니깐!) - 매주 금요일 5시 30분 퇴근 ( 우리의 시간은 소중하니깐 x2!! ) - 업무 성장에 필요한 도서 및 강의 지원 - 1년 이상 근무자에게 ‘내일채움공제’ 가입 제공 팀원들의 행복을 위해!! - 다양한 간식 무한 제공 - 폴바셋 커피(에스프레소 머신 및 드립), 차(tea) 무한 제공 - 매주 목요일, 금요일 오후 4시~6시 맥주 제공 - 점심시간은 넉넉하게 1시간 30분!! ( 내 점심 시간은 소중하니깐!!! ) - 업무 성과에 따라 스톡옵션 제공 [고용형태 및 근무환경] - 정규직 - Culture-Fit과 On boarding을 위한 수습기간 3개월 (급여는 100% 지급) - 장소 : 위워크 삼성2호점 - 시간 : 월~금, 09 : 00 ~ 18 : 00 - 점심시간 : 11시 30분 ~ 13시 (1시간 30분) [합류여정] - 입사 지원 서류 : 이력서 또는 자기소개서, Notion 등 포트폴리오 혹은 경력 기술서 (여러분의 이야기를 자유롭게 적어주세요! - 자유양식) - 합류 여정 : 서류 전형 > 인터뷰 전형 > 처우협의 > 최종 합격 - 해당 공고는 수시 채용으로, 채용 완료 시 조기에 마감될 수 있습니다. - 지원자의 이력 및 경력 사항에 따라 일부 과정이 생략되거나 추가될 수 있습니다.",경력 (최소 5년 이상),고졸,-,-,-
112,IT개발·데이터,-,경력 (최소 5년 이상),대졸(4년),-,-,-
113,"마케팅,마케팅기획,마케팅전략,제휴마케팅,입소문마케팅,온라인마케팅,CRM,광고,광고기획",데이터 기반의 CRM 메세지 발송 관리,"신입, 경력 (최소 8년 3개월 이상)",학력무관,-,-,-
114,"마케팅·홍보·조사,기획·전략,IT개발·데이터,건설·건축,영업·판매·무역",-,무관,학력무관,-,-,-
115,IT개발·데이터,-,"신입, 경력 (최소 1년 이상)",대졸(2~3년),-,-,-
116,데이터 설계 및 프로그래머 직업정보,"저희 회사는 우편물 발송 전문 회사로써 평문형식의 데이터를 안내장 혹은 청구서 및 고지서 등의 형식에 맞게 데이터를 출력하여, 우편발송을 하는 전문 업체입니다. 프로그램 개발이 아니어도 자료처리의 기본 개념만이라도 습득하신 분이면, 편하게 입사 지원 부탁드립니다.",관계없음,학력무관,전산학·컴퓨터공학(학과 : 정보전산학과),필수 : 정보처리기사 우대 : 정보처리기능사,장애인 우대
117,IT개발·데이터,-,경력 (최소 4년 이상),학력무관,-,-,-
118,IT개발·데이터,-,경력 (최소 3년 이상),대졸(2~3년),-,-,-
119,IT개발·데이터,-,무관,학력무관,-,-,-
120,IT개발·데이터,-,무관,대졸(2~3년),-,-,-
121,IT개발·데이터,-,경력 (최소 1년 이상),고졸,-,-,-
122,IT개발·데이터,-,무관,학력무관,-,-,-
123,IT개발·데이터,-,무관,학력무관,-,-,-
124,IT개발·데이터,-,경력 (최소 5년 이상),고졸,-,-,-
125,IT개발·데이터,-,무관,학력무관,-,-,-
126,IT개발·데이터,-,경력 (최소 2년 이상),대졸(4년),-,-,-
127,IT개발·데이터,-,경력 (최소 2년 이상),대졸(4년),-,-,-
128,IT개발·데이터,-,경력 (최소 5년 이상),대졸(4년),-,-,-
129,-,-,-,-,-,-,-
130,"디자인,IT개발·데이터,총무·법무·사무,영업·판매·무역",-,"신입, 경력 (최소 2년 이상)",학력무관,-,-,-
131,"생산,IT개발·데이터",-,경력 (최소 3년 이상),대졸(4년),-,-,-
132,"생산,IT개발·데이터",-,경력 (최소 3년 이상),대졸(4년),-,-,-
133,IT 테스터 및 IT QA 전문가,자동차 관련 데이터 비교분석 일입니다.,신입,대졸(2~3년) ~ 대졸(4년),-,-,-
134,"사업기획,전략기획,사업조사·분석,경영관리",- 사업계획서 작성 및 기안 - 사업 및 프로젝트 기획 / 전략수립 및 운영 - 기술 및 제품 시장조사 및 분석 - 데이터 정리 및 분석 - 유관기관 연계 / 협업,신입,대졸(4년),-,-,-
135,-,마케팅/PR/분석,무관,대졸(4년),-,-,-
136,"웹개발자,시스템엔지니어,데이터엔지니어",-,경력 (최소 3년 이상),학력무관,-,-,-
137,-,-,신입/경력,석사,-,-,-
138,"사무보조,설문·리서치",-,무관,학력무관,-,-,-
139,"사무담당자,사무보조,영업지원,경영지원,경리",-,"신입, 경력 (연수무관)",학력무관,-,-,-
140,시스템 소프트웨어 개발자,"◆ 데이터 엔지니어 [2명] [주요 업무] ㆍ실시간으로 대용량 데이터를 분석 및 조회 ㆍ데이터 구조화 및 파이프라인 아키텍처 구축 및 유지 ㆍ데이터 모델링 및 데이터 분석 환경의 최적화와 자동화 ㆍ다양한 데이터 소스에서 데이터를 최적으로 추출, 변환 및 로드하는 데 필요한 인프라를 구축 [자격 요건] ㆍ학력 : 무관 ㆍ경력 :  1년 이상 필수 ㆍ다양한 이해 관계자와 조율이 가능한 커뮤니케이션 능력 ㆍ데이터 전처리 및 모델링을 위한 개발 경험 2년 이상 ㆍ AWS 기반의 데이터 플랫폼 개발 및 운영 역량이 있으신 분 ㆍ대용량 데이터 처리 및 분석을 위한 시스템 요구 사항을 이해하고 구축 경험이 있으신 분 ㆍSpark을 이용한 빅데이터 처리 경험이 있으신 분 ㆍAirflow, Jenkins 운영 경험이 있으신 분 ㆍSQL, Python에 대한 기술 역량이 있으신 분 ㆍ프로젝트 관리 및 문제 해결 역량이 있으신 분 ㆍ높은 창의성, 혁신성, 결과 지향적 사고 역량이 있으신 분 [우대 사항] ㆍ컴퓨터 / 시스템 공학 우대ㆍ정보처리기사 우대ㆍ영어가능자 우대ㆍHadoop 우대 ㆍAWS 관련 교육 이수 or 운영 경험 ㆍAWS 클라우드 서비스 내 구현 및 운영 경험을 보유하신 분 ◆ 웹개발자 ( 프론트엔드 )[1명] [주요 업무] ㆍ데이터 플랫폼 솔루션 개발 및 프로젝트 수행 [자격 요건] ㆍReact , Nextjs 등의 프레임워크 기반 개발 경험 ㆍHTML, CSS 등  W3C 웹 표준 규격에 대한 이해자﻿ ㆍAWS 환경에서의 CI / CD 경험이 있으신 분 ㆍ포지션을 넘어 비즈니스 동료, 파트너로서 비즈니스 도메인에 대한 깊은 이해를 추구하시는 분 ㆍ커뮤니케이션과 협업 스킬이 좋으신 분 [우대 사항] ㆍ컴퓨터 공학, 전산 분야의 학사 학위 이상(또는 동등한 경력) 우대 ㆍ영어 가능자 우대 ◆ 웹개발자 ( 백엔드 )[1명] [주요 업무] ㆍ데이터 플랫폼 솔루션 개발 및 프로젝트 수행 [자격 요건] ㆍJava 에 대한 충분한 지식을 보유하신 분 ㆍAWS 클라우드 서비스 내 구현 및 운영 경험 ㆍ백엔드 시스템에 대한 설계 및 개발 / 운영 경험 ㆍ데이터베이스 설계 경험 ㆍSQL 지식이 있으신 분 ㆍJava 기반의 서비스 개발 / 운영 경험 ㆍ다양한 이해 관계자와 조율이 가능한 커뮤니케이션 능력을 보유하신 분 [우대 사항] ㆍ컴퓨터 공학, 전산 분야의 학사 학위 이상(또는 동등한 경력) 우대 ㆍ영어 가능자 우대 [조직 문화 및 사무 환경] ㆍ 자율적인 업무 시간 관리- Core Time (11시 ~ 4시)만 지켜주세요 ㆍ 자유로운 의견 교환과 상호 신뢰에 근거한 수평적 커뮤니케이션 '님' 호칭 사용 ㆍ 시간, 장소, 상황에 맞게 개성을 표현할 수 있는 자유 복장 ㆍ 입사 시 직무 별 최적화된 장비와 소프트웨어 제공• 업무 관련 도서, 강의 수강 지원 ㆍ 명절 선물, 종무식 선물 등 전 직원 지급 ㆍ 건강 검진 , 각종 경조사 비 지원 ㆍ 자유로운 연차 사용과 예비군, 건강 검진, 결혼 등 각종 경조사에 해당하는 휴가 추가 부여 [근무 예정지] 송파구, 종로구, 마포구",경력 (최소 1년 이상) 필수,학력무관,"전산학·컴퓨터공학(학과 : IT정보공학부(컴퓨터시스템공학,소프트웨어공학))","우대 : 정보처리기사 기타  : 영어가능자 우대, 컴퓨터 공학과 우대",-
141,CRM,"[주요업무] - 고객 세그먼트 설계, 행동 패턴, 구매이력, 선호도 파악 등 고객 데이터 분석 - 분석 데이터 기반 개인화 마케팅 전략 수립, 캠페인 설계 및 운영((A/B TEST, 채널별 메시지 기획 포함) - 고객 충성도 및 장기적 관계 구축을 위한 프로그램 개발 - 데이터 기반 마케팅 성과 측정 및 분석, 개선을 위한 인사이트 도출 [자격요건] - 5년 이상의 CRM, 고객 데이터 분석, 타겟 마케팅 관련 경력을 보유하신 분 - 데이터 분석 기술 및 관련 도구 활용능력이 우수하신 분(예: Google Analytics, CRM 소프트웨어) - 명확한 커뮤니케이션 능력과 데이터를 기반한 가설 수립 및 검증 과정이 가능하신 분 [우대사항] - CRM 마케팅 툴 사용 경험을 보유하신 분 - SQL, Python 프로그램 이해도가 높고 활용이 가능하신 분 - 국내 외 주요 선불카드 Payment 서비스, O2O(B2C) 서비스 및 보상형 앱 서비스 분야에서의 사업 리드 경험",경력 (최소 1년 이상),대졸(4년),-,-,-
142,-,▣ 담당업무 - 고객 행동 분석을 위한 Google Analytics 분석 및 관리 - 고객 및 주문 기반 데이터 분석 - CRM 및 고도화 된 분석을 위한 고객 세그먼트 구성 - 데이터 정제 및 고도화를 위한 데이터 관리 - 데이터 관리를 위한 DB 스키마 및 데이터 처리 과정 효율화,경력 (최소 2년 이상),대졸(4년),-,-,-
143,데이터 설계 및 프로그래머 직업정보,"1. 데이터 관리, 데이터 활용  등 데이터 측면 솔루션 개발 - 데이터 관리 : 메타데이터 관리, 데이터 연계 관리, 데이터 거버넌스 관리 등 - 데이터 활용 : 빅데이터 분석 플랫폼, AI 적용 서비스 솔루션 개발 등 2. 솔루션 개발 계획 수립 및 연구과제 지원 등",경력 (최소 8년 이상) 필수,학력무관,-,-,-
144,JAVA 프로그래밍 언어 전문가 직업정보,"담당업무 ㆍ데이터 분석 서비스를 개발 ㆍ구축된 분석 서비스의 다양한 데이터를 시각화 하기 위한 UI 개발 ㆍ분석 데이터를 제공하기 위한 API 개발 ㆍ자동 메시지 발송을 위한 알람 서버를 개발 자격요건 ㆍJava, JSP, Javascript 언어로 개발 경험 ㆍHTML5, CSS 기본지식 및 마크업 능력 ㆍJQuery 사용 경험 ㆍVue JS, React, Angular 중 하나 이상 경험 ㆍRestful API를 활용한 개발 경험 우대사항 ㆍ웹표준, 웹 접근성에 대한 적용 경험 ㆍ검색엔진 사용 경험 ㆍ데이터 시각화 관련 경험 ㆍdocker를 사용한 서비스 개발 경험 ㆍSVG, d3.js, Zingchart 등 차트라이브러리 사용 경험 사용하는 기술 ㆍ웹 프레임워크로 Spring, Spring Boot, Mybatis, 웹서버는 Tomcat, Apache 사용 ㆍ데이터 저장에는 Oracle, PostgreSql 사용 ㆍ개발언어는 Java, 자바스크립트 라이브러리는 JQuery, Vue.JS, Kendo UI, Zingchart 사용 ㆍ데이터를 효율적으로 분석하기 위해 오픈소스 기반의 플랫폼 사용(Elasticsearch, Kibana, Logstach) ㆍ소스코드 형상관리를 위해 SVN을 사용 ㆍ통합, 테스트, 배포를 위해 Jenkins를 사용 ㆍ업무 관리를 위해 네이버웍스, Redmine, Slack을 사용 복지 및 혜택 ㆍ커피 메이커, 음료 자동판매기, 간식 바 지원 ㆍ휴게실 지원 ㆍ팀별 회식비 지원 ㆍ매주 금요일은 2시간의 자유로운 점심 시간 ㆍ3, 5, 7년 근속 시 리프레시 휴가(5일) 및 근속 장려금(백만원) 지급 ㆍ생일 축하 유급 휴가 부여 ㆍ경조사(50만, 휴가 5일) 지급 ㆍ설, 추석 명절 10만원 상품권 제공 ㆍ함께 일하는 구성원 추천시 추천자와 입사자 모두에게 50만원 지급 ㆍ육아 휴직 지원 ㆍ도서 구입비 및 직무 관련 교육비용 지원 ㆍ자유로운 연차 사용 타파크로는 빅데이터 기술을 이용하여 소셜 데이터 속에 숨겨진 가치를 해석하고 고객이 원하는 인사 이트를 제공합니다. 더불어 어떻게 하면 고객들이 궁금해 하고 알고 싶어하는 정보는 무엇일까 라는 고민을 하면서 일 하는 조직입니다. 고객이 원하는 정보를 찾을 수 있도록 도움을 줄 수 있는 서비스를 만듭니다. 기술연구소는 수집, 웹, 검색, 인프라 파트로 구분되며 2~12년 경력을 가진 멤버로 구성되었습니 다. 직군에 국한하지 않고 본인의 흥미로 의지가 있다면 다른 업무도 지원 가능합니다.",경력 (최소 3년 이상) 우대,학력무관,전산학·컴퓨터공학(학과 : 컴퓨터과학과) 응용 소프트웨어 공학(학과 : 소프트웨어학과),우대 : 정보처리기사,-
145,"전략기획,마케팅기획",- 다양한 데이터 소스에서 정보를 수집하고 분석하여 조직 내부 또는 외부의 통찰력 도출 - 리서치 및 조사 수행: 시장 조사 / 소비자 인사이트  경쟁 분석 등 - 수집한 데이터와 분석 결과를 활용하여 의사 결정 지원 - 비즈니스 전략 수립 및 마케팅 전략 개발 - 다양한 데이터 분석 도구와 기술을 활용한 데이터 처리 및  분석 - 다양한 부서 및 팀과 협업하여 프로젝트를 진행하고 효과적인 목적 달성,경력 (최소 8년 이상),대졸(4년),-,-,-
146,"브랜드마케팅,시장조사·분석,통계,설문·리서치·모니터링","• 오픈서베이는 고객이 가지고 있는 비즈니스 이슈를 제품과 데이터를 활용해 해결하며, 이를 위해 데이터를 수집하고 분석하는 전 과정을 ‘프로젝트’라고 합니다. AM은 담당 프로젝트가 성공적으로 종료되기까지 필요한 모든 일을 기획하고 운영합니다. • 프로젝트는 크게 다음과 같은 단계로 진행됩니다 ⸰ 고객의 비즈니스 이슈를 해결하는 최적의 리서치 방법을 고민하고 제안합니다. ⸰ 적합한 리서치 대상자를 찾고, 데이터를 수집합니다. ⸰ 수집한 데이터를 분석합니다. • AM은 다양한 기업 고객의 여러 프로젝트를 동시에 수행해야 합니다. 따라서 프로젝트의 특징을 고려해 우선순위를 설정하고, 내/외부 전문가들과 적극적인 협업을 통해서 효율적으로 업무를 진행해야 합니다.","신입, 경력 (연수무관)",대졸(2~3년),-,-,-
147,전산자료 입력원(DB·단순자료) 직업정보,"빅데이터 자료 수집 계약직 직원 모집 - 인공지능(AI) 데이터 확보를 위한 라벨링 작업 - 차량, 사람, 자동차번호판, 안전모 등 라벨링 * 데이터라벨링이란? : 컴퓨터를 활용하여 인공지능(AI) 적용 전에 학습 데이터에 특정 값을 부여 해주는 것 : 데이터 라벨링 툴 교육 수료 후(1~2시간) 바로 근무 가능 * 중식비 포함 * 3개월 계약직",신입,학력무관,-,-,"- 기타 (성실하고 책임감 있는 분을 환영합니다.
 반복 작업 위주의 업무이므로 해당 업무를 잘 이해할 수 있는 분을 희망합니다.)"
148,"영업기획,법인영업,영업관리","담당하시게 될 업무를 소개합니다 영업 전략 수립 및 프로세스 개선 신규 고객 데이터 분석 및 컨설팅 방법론 개선 신규 서비스 영업 전략 제시 및 실행, 최적의 방법 도출 신규 영업 파이프라인 개발 관리 고객사 피드백 수집을 통한 시장의 unmet needs 발굴과 제안 영업 채널 다변화 전략 실행 세일즈 프로모션 기획 및 성과 리뷰 신규 리드 발굴을 위한 아웃바운드 세일즈 전략 수립 영업 성과 지표 관리 및 현황 분석 영업 forecasting report 및 실적 관리 영업 활동 기업 니즈 또는 액션 아이템을 기반으로 신규BM 개발/기획하고, 타겟 기업에게 빠르게 제안하여 사업타탕성 분석 어카운트의 데이터 분석을 통한 컨설팅 및 솔루션 제안 기존 어카운트 관리 : 기업에서 솔루션 도입 이후 지속적으로 이동 데이터를 모니터링하며, 니즈에 부합하는 상품 컨설팅 신규 어카운트 확보 : 신규 법인 니즈 및 이동 데이터 분석을 통해 문제점을 진단하여, 불필요한 고정비를 없애고 효율적인 차량 이용 솔루션 제안",경력 (최소 10년 이상),학력무관,-,-,-
149,데이터 분석가(빅데이터 분석가) 직업정보,부산 도시브랜드 경쟁력 강화 평가지표 구축사업 (채용일~2024.12.31) 1. 부산시 도시지표 개발 및 분석 2. 부산시 공공데이터 및 민관데이터 분석 및 시정 인사이트 개발 3. 기타 디지털도시정보센터 연구 업무 지원,관계없음,박사,통계학(학과 : 통계정보학과) 전산학·컴퓨터공학(학과 : 정보·경영대학 컴퓨터학과),-,장애인 우대
150,-,- 데이터 수집 및 전처리 - 데이터 분석 및 모델링 - 시각화 및 결과 해석 - 모델 평가 및 최적화,경력 (최소 3년 이상),대졸(4년),-,-,-
151,데이터 분석가(빅데이터 분석가) 직업정보,국립금오공과대학교에서는 2024년 국립대학 육성사업 업무 추진을 위해 참신하고 유능한 인재를 다음과 같이 모집합니다. 1. 채용분야 및 인원 ◎ 전문계약직(학내 데이터 분석시스템 업무) 1명 - 학내 데이터 분석시스템 관련 업무 2. 접수기간: 2024.2.9.(금) ~ 2.16.(금) 18:00 3. 접수방법: 이메일 접수 * 기타 자세한 사항은 붙임파일 참조 바랍니다. 2024년 2월 8일 국립금오공과대학교총장,관계없음,석사 ~ 박사,-,-,-
152,데이터 분석가(빅데이터 분석가) 직업정보,"<주요업무> - 인공지능 알고리즘 개발 및 연구 - 인공지능 서비스 솔루션 개발 - Vision/Time Series/NLP 데이터 처리 및 분석 <우대사항> - 전반적인 AI 기술에 대한 이해가 있으신 분 - Vision/Time Series/NLP 딥러닝 모델에 대한 이해 및 학습경험 - 딥러닝 프레임워크(Pytorch, Tensorflow 등) 사용 - 데이터를 분석하거나 모델링을 통해 결과를 도출해낸 경험이 있으신 분 * 서류전형 합격자에 한하여 면접일정 별도 안내드립니다.",신입,대졸(4년) ~ 박사,전산학·컴퓨터공학(학과 : 컴퓨터공학과) 전산학·컴퓨터공학(학과 : 인공지능전공),-,-
153,-,-,-,-,-,-,-
154,영업 기획·관리·지원 사무원 직업정보,"**[서초구]부동산114// 부동산 데이터 수집원 모집(1명) - 근무지:서초구 효령로346,8~9층 - 주 5일 (월~금) - 근무시간: 08:00~17:00  or  08:30~17:30 - 월급: 2,060,740원 - 엑셀활용 우수자 모집 - 부동산 시세 조사, 문서정리, 데이터입력, 아파트 상세정보 구축 및 정비, 관련 CS 처리 **[서초구]부동산114 // 외부 데이터 수집 담당자 모집(1명) - 근무지:서초구 효령로346,8~9층 - 주 5일 (월~금) - 근무시간: 08:00~17:00  or  08:30~17:30 - 월급: 2,060,740원 - 엑셀활용 우수자 모집 - 외부(행안부, 한국부동산원, 금감원, 통계청 등)의 부동산 금융 데이터를 당사 구축 폼에 입력, 검수 **[서초구]부동산114 // 아웃바운드 콜조사원 모집(1명) - 부동산 시세 및 기타정보 콜조사(only 아웃바운드) 당사에 시세를 제공하는 중개사무소에 전화해서 매주 부동산 시세  및  부동산 정보 (평형, 관리비 등 수집이 안된 항목) 전화조사 - 주3일 근무 (월, 화, 수 오전 8시 30분 ~ 오후 5시 30분 / 조정 가능), ""업무량에 따라서 목,금 추가 근무 요청드릴 수 있음"" - 일당 94,656원(주휴 포함) / 엑셀 가능자, 전화조사 경험자 우대 - 연차 사용이 자유로움/커뮤니케이션이 원활한 분 지원바람 - 문의:070-4048-6104",관계없음,학력무관,-,-,-
155,"UI·UX디자인,모바일UI","-스마트뱅킹/ 마이데이터 앱, 웹 등 디지털채널 UI/ UX 디자인 -사용자 관점 및 데이터 기반 UX 설계 -디자인 시스템가이드 구축 및 관리 - 제휴 채널 및 마케팅 디자인",경력 (최소 8년 이상),대졸(4년),-,-,-
156,"UI·UX디자인,모바일UI,웹디자인","- 스마트뱅킹/마이데이터 앱, 웹 등 디지털채널 UI/UX 디자인 - 사용자 관점 및 데이터 기반 UX 설계 - 디자인 시스템 가이드 구축 및 관리 - 제휴 채널 및 마케팅 디자인",경력 (최소 8년 이상),대졸(4년),-,-,-
157,"마케팅기획,브랜드마케팅,온라인마케팅,CRM,제휴마케팅","- CRM 데이터 분석 및 전략수립 - 고객 DB 추출 및 가공, 데이터화 - 모바일앱 멤버십 기획 및 운영관리",경력 (최소 7년 이상),대졸(4년),-,-,-
158,"제휴마케팅,CRM","[담당업무] 1. CRM 데이터 분석 및 전략수립 - CRM 리포트 관리 및 고객 데이터 기반 보고서 기획/관리 - 고객 DB추출, 가공, 분석을 통한 인사이트 도출 - Target 마케팅 기획 및 성과분석 2. 모바일 APP 멤버십 기획 및 운영관리 - 신규회원 및 승급유도 등 이벤트 기획 - 멤버십 리워드 프로그램 분석, 기획 및 개편 [자격요건] - 관련업무 경력 7년 이상자 (과장급) - 통계 프로그램 (SAS,, R, SQL 등) 활용 가능자 우대 - 4년제 대학 졸업자 이상 (경영/통계학 우대)",경력 (최소 7년 이상),대졸(4년),-,-,-
159,"사업기획,사업조사·분석,서비스기획·운영",담당하시게 될 업무를 소개합니다 쏘카존 운영 관련 대관 업무 기 개설된 카셰어링 스팟 매니징 수익성 확보를 위한 쏘카존 매출 데이터 분석 및 관리 데이터에 기반한 부산/울산/경남 지역 우수 카셰어링 입지 분석 지역 기반/수익 관점의 사업 확대를 위한 각종 기획 및 실행 현장 커뮤니케이션을 통한 카셰어링 쏘카존 신규 개설,"신입, 경력 (연수무관)",학력무관,-,-,-
160,-,"빅데이터/AI, DBA/데이터베이스",무관,대졸(4년),-,-,-
161,-,"빅데이터/AI, 웹개발, 응용프로그램개발, DBA/데이터베이스",경력 (최소 12개월 이상),학력무관,-,-,-
162,-,"빅데이터/AI, DBA/데이터베이스",경력 (최소 12개월 이상),학력무관,-,-,-
163,-,"빅데이터/AI, DBA/데이터베이스",무관,대졸(4년),-,-,-
164,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
165,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
166,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
167,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
168,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
169,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
170,-,"빅데이터/AI, 웹개발, 응용프로그램개발, DBA/데이터베이스",무관,대졸(4년),-,-,-
171,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
172,-,"빅데이터/AI, 웹개발, 응용프로그램개발, DBA/데이터베이스",무관,대졸(4년),-,-,-
173,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
174,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
175,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
176,-,"빅데이터/AI, 전기/전자/제어, DBA/데이터베이스",무관,대졸(4년),-,-,-
177,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
178,-,"빅데이터/AI, DBA/데이터베이스",경력 (최소 12개월 이상),학력무관,-,-,-
179,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
180,-,"빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",무관,석사,-,-,-
181,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
182,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
183,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
184,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
185,-,"빅데이터/AI, DBA/데이터베이스",무관,대졸(4년),-,-,-
186,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
187,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
188,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
189,-,"빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",무관,대졸(4년),-,-,-
190,-,"빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",무관,학력무관,-,-,-
191,-,"빅데이터/AI, 웹개발, 응용프로그램개발, DBA/데이터베이스",경력 (최소 12개월 이상),대졸(4년),-,-,-
192,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
193,"데이터엔지니어,데이터사이언티스트",-,경력 (최소 6년 이상),학력무관,-,-,-
194,-,"빅데이터/AI, DBA/데이터베이스",무관,석사,-,-,-
195,-,"빅데이터/AI, DBA/데이터베이스",무관,학력무관,-,-,-
196,-,"빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",무관,석사,-,-,-
197,-,"빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",무관,석사,-,-,-
198,-,"빅데이터/AI, 응용프로그램개발, DBA/데이터베이스",무관,대졸(4년),-,-,-
199,"DBA,데이터엔지니어,데이터사이언티스트,웹기획,R&D·연구원,경영·비즈니스 기획",-,"신입, 경력 (연수무관)",대졸(4년),-,-,-
